"gene_id","gene_symbol","logFC.Early_vs_Thin","logFC.Early_vs_Mature","logFC.Thin_vs_Mature","logCPM","PValue","FDR","F"
"YOR284W","HUA2",1.05664803517657,0.3968619661747,-0.659786069001871,0.678049236583179,0.00959714709632704,0.0162991013227922,7.08447385638125
"YLR348C","DIC1",-0.710638290241381,-0.41660534213262,0.294032948108761,3.29049543658087,0.00963856097941436,0.0163596403055299,7.0672003487313
"YOR134W","BAG7",-1.09152257153218,-0.507127654944226,0.584394916587951,1.38360418163487,0.00963923666682661,0.0163596403055299,7.06868524338074
"YKL109W","HAP4",-0.882525890875766,-0.133350437426997,0.749175453448769,6.78526941169086,0.00964296009746381,0.0163604916053863,7.06600524427272
"YGR031W","IMO32",0.810066627202317,-0.0998963773092392,-0.909963004511556,0.913214384812921,0.00965692439441587,0.0163787114478436,7.06774448949195
"YJL123C","MTC1",-0.711142187862401,0.141973968910691,0.853116156773092,4.60521247818569,0.00966348019947375,0.0163843580811111,7.06134600825617
"YDR088C","SLU7",-1.61228648830521,-0.454800918187303,1.1574855701179,3.19421231596642,0.00971367800283773,0.0164639709273732,7.05021251645188
"YNL051W","COG5",-1.14736062608832,-0.701654296100365,0.445706329987957,2.33993281612347,0.00973711867169801,0.0164939930403707,7.04520930442496
"YKR088C","TVP38",1.19626230731585,0.353066673491318,-0.843195633824529,2.70861195250065,0.0097378871868908,0.0164939930403707,7.04491351874956
"YOR347C","PYK2",1.51516190150303,0.737390687268655,-0.777771214234377,2.27938614638034,0.00974778441078771,0.0165052514964922,7.04314033776038
"YGL224C","SDT1",0.634656192162295,0.101480057531934,-0.533176134630361,2.79379707290884,0.0097777292195876,0.0165504363256886,7.03583630063369
"YPL168W","MRX4",-0.137311650245589,0.722304864947731,0.85961651519332,2.85296194685738,0.00982087730318017,0.0166179323377371,7.02615505086199
"YER110C","KAP123",0.926737038152382,0.482572523947638,-0.444164514204744,4.24083552838804,0.00983063118433666,0.0166288957874955,7.02370785205205
"YGR283C","UPA1",-0.223571862151033,-0.786295934384578,-0.562724072233545,1.48608531210654,0.00985070937603739,0.0166573100937455,7.02073708494418
"YOR276W","CAF20",-0.142276921519043,-0.608906844138798,-0.466629922619755,3.46697924135556,0.00985594878005736,0.0166606218059691,7.01816908669049
"YDR162C","NBP2",0.515817107493224,-0.588727724309057,-1.10454483180228,1.96155752129041,0.00987637456461991,0.0166895940230083,7.01449681095229
"YNL231C","PDR16",-0.762956840986242,-0.490123784507669,0.272833056478573,5.43438980972796,0.00988250655716008,0.0166944006311573,7.01211186116046
"YOR085W","OST3",0.464381476286564,-0.164234598565474,-0.628616074852038,4.07125589055428,0.00990272445418525,0.016722991279798,7.00770020818435
"YNCP0005C","SNR17B",0.538033050665069,-1.13288492933109,-1.67091797999616,7.56223467343558,0.00993579982410232,0.0167732684530557,7.00032693266503
"YJL171C","TOH1",0.540283524672939,-0.57765500933816,-1.1179385340111,5.29406588534677,0.00993979795672038,0.01677444135069,6.99945999662881
"YCR077C","PAT1",0.26521357874687,0.77637065751368,0.51115707876681,3.255177129595,0.00996659913898641,0.0168094192153738,6.99374959608644
"YKR043C","SHB17",0.776154048409939,-0.0341938654912748,-0.810347913901214,3.20994966476835,0.00996714479273149,0.0168094192153738,6.99365585330542
"YIL105C","SLM1",-0.511512463762094,0.429952893125328,0.941465356887422,3.91774274416156,0.00999443033769234,0.0168498397260298,6.98756280919494
"YNL001W","DOM34",-0.966555643951834,-0.365171828631036,0.601383815320798,2.62772685435604,0.0100108350210841,0.0168718951998225,6.9842410054283
"YBR288C","APM3",0.0087320397435435,-0.518761463613729,-0.527493503357273,2.30755866578244,0.0100472479444505,0.0169276460059455,6.9764514076317
"YLR026C","SED5",-0.932227429919407,-0.297276954703669,0.634950475215738,2.23799675754519,0.0100769840933193,0.0169721145027779,6.9700679422591
"YGR062C","COX18",0.407413593122655,-0.276913072633793,-0.684326665756448,1.80920377294196,0.0100920304849796,0.0169918205579331,6.96726314869895
"YER082C","UTP7",-0.78133626581825,0.00469191268242655,0.786028178500677,2.7650862881231,0.010115968662751,0.0170264795722405,6.9613748629831
