"gene_id","gene_symbol","logFC","logCPM","PValue","FDR","F"
"YJL071W","ARG2",-0.268304949207598,2.56455817042891,0.0719777170231845,0.115295989496578,3.90777802453365
"YNL069C","RPL16B",-0.389304996273097,5.06089417879953,0.0719975546856341,0.115295989496578,3.90702517232196
"YKR095W","MLP1",-0.94937613736598,5.88044887510002,0.0722133101568407,0.11560504066092,3.90022027833559
"YMR307W","GAS1",-0.469452740181872,5.56195563023146,0.0722828195613573,0.115657174316109,3.89803637132233
"YLR433C","CNA1",0.308567315648722,2.5012798742379,0.0722914279793875,0.115657174316109,3.89787253031077
"YOR321W","PMT3",0.325808905637154,3.00885831810622,0.0727062337836808,0.116284174851506,3.88485080939837
"YPR072W","NOT5",-0.370301777947749,3.85180828491722,0.0730886530770988,0.116858998843044,3.87292757595491
"YOR272W","YTM1",-0.474086474848036,1.89961028226765,0.0732743471073332,0.117119022540459,3.86736698880517
"YML116W","ATR1",0.351637688138336,3.01550338279628,0.0734382301469634,0.117344031682278,3.86225220115899
"YLR032W","RAD5",0.349071464161051,3.26375923948931,0.073476557185639,0.117348224684287,3.86096802298864
"YLR033W","RSC58",-0.338635439704748,3.15897399000645,0.0734870725671587,0.117348224684287,3.86064950367423
"YBR079C","RPG1",-0.275122311935198,3.59415332598788,0.0735389866959455,0.117394207620877,3.85903362856152
"YNL283C","WSC2",0.40673626109281,2.07565278382427,0.0736286140507608,0.117500346370133,3.85643825573767
"YNL084C","END3",-0.51554594269065,3.8859211263578,0.0738422904774847,0.117804320152267,3.84972319474211
"YDL140C","RPO21",0.343876332923064,5.94915043367684,0.0740712733105052,0.118132514406641,3.84270233434426
"YDR096W","GIS1",-0.261863211368649,4.77362061096177,0.074261853684844,0.118399275670844,3.83690556625878
"YNL290W","RFC3",-0.385829485744683,1.70381328942806,0.0743094578816737,0.118437987169849,3.83572329825522
"YMR264W","CUE1",0.257995339461596,2.77552069986493,0.0744525018053963,0.118628743071165,3.83119701911847
"YPL015C","HST2",0.318722729241595,2.82246235134687,0.0745678756303513,0.118775305034794,3.82770709690245
"YGR270W","YTA7",0.369297488566214,5.35203251174363,0.0746425372435375,0.118856947043802,3.82537269179807
"YDL142C","CRD1",0.402900320871903,2.09278522711124,0.0749702357058707,0.119341334455928,3.81567735647264
"YLL017W","includes",0.675979877980096,-0.157339445277499,0.0751025579450907,0.119481296855159,3.81658521362626
"YDR161W","ACL4",0.384032445203111,2.19302517952063,0.075105218503676,0.119481296855159,3.81162305244942
"YDR003W","RCR2",-0.42663485417911,2.86799276880945,0.0752585113855339,0.11968766702654,3.80693003298991
"YLR084C","RAX2",-0.534458520925233,3.19252451482366,0.0754677469608186,0.119982848799949,3.80066289414759
"YGR163W","GTR2",-0.27554266817378,2.97537216499465,0.0755862576183617,0.120133651388432,3.79714408442016
"YNCM0016W","SNR73",-0.813800249979425,0.40549950546596,0.0758153079623213,0.120459991812474,3.79344839570322
"YBR275C","RIF1",0.281962205484249,3.06273479468039,0.0764232521026171,0.121387949382887,3.77241784250841
"YDR075W","PPH3",-0.436094345815355,1.59620734462595,0.0764902050505516,0.1214563043298,3.77073121360299
"YOR150W","MRPL23",-0.24772375765605,3.38768658850796,0.0765350808382745,0.121489571896455,3.76911875029039
"YMR268C","PRP24",-0.518676073738565,1.16939777633012,0.07661948483794,0.121585545002206,3.7671186638709
"YDR158W","HOM2",-0.353347141167955,4.71576302993491,0.0767048662248778,0.1216830086504,3.76411837681763
"YCL010C","SGF29",0.430738896410097,1.23006981233808,0.0769121248180892,0.121973694511636,3.75857056103532
"YCL044C","MGR1",-0.391049450058363,1.14018642316239,0.0772365248646963,0.122449913600664,3.74919748313259
"YOL146W","PSF3",-0.354649873807083,1.26207982674725,0.0773553574415897,0.122600032799124,3.74564460897578
"YPR011C","MRX21",0.586048664030817,1.74268757247472,0.0777811011396047,0.123236328108241,3.73338223621602
"YPL174C","NIP100",0.496474887425523,2.80119946433578,0.0779964168532694,0.123538928503089,3.72684220681337
"YAR018C","KIN3",-0.596261806645426,0.676269315203411,0.0780652244404054,0.123609357564197,3.72621913370472
"YOR144C","ELG1",0.338429216800266,1.57859667695992,0.0781206135321997,0.123658502343052,3.7236038330686
"YBR229C","ROT2",0.275076204568626,3.56717445086591,0.0786869169454133,0.124516099797073,3.70714155795922
"YNL251C","NRD1",-0.242090037953462,4.17852586591436,0.0788814177022695,0.124784996601908,3.70162384724314
"YPL048W","CAM1",-0.388858126831832,4.04782123760952,0.0789623786783612,0.124874169706857,3.6993493989339
"YDR297W","SUR2",-0.219699488050914,4.78249786581932,0.0790296788100594,0.124941690223375,3.6974270351158
"YBR192W","RIM2",0.326528304934881,2.35247568034209,0.0792768108752182,0.125293384881531,3.69061356717181
"YER044C","MEI4",0.245909271163269,5.14152306693676,0.0797991496143205,0.126079676957536,3.67588142830992
"YOR112W","CEX1",0.377925503357935,1.99187839225204,0.0804436871552558,0.127058489385502,3.65819738728847
"YER014W","HEM14",0.295864403971634,2.76521181859458,0.0807002035872904,0.127424015490131,3.65103723428026
"YDR456W","NHX1",0.421250164602274,5.05565662305967,0.0808621554677585,0.12764004521768,3.64652549058231
"YPL215W","CBP3",-0.294553904980129,2.98998104245154,0.0811947690608046,0.128125244652196,3.63749347430167
"YKR007W","MEH1",-0.344148246431706,2.2393579820884,0.0812396084520215,0.128156176365134,3.63633376346498
"YNL177C","MRPL22",-0.343393492452176,3.25303616299812,0.0813198960273674,0.128242991312724,3.63407539212969
"YNL164C","IBD2",0.432302429165366,1.32078217127066,0.0815810442094754,0.128614884351356,3.62737754798574
"YJL062W","COA3",0.397070843258846,2.49747183887874,0.0817377716250913,0.128821975267602,3.62281393823504
"YBR092C","PHO3",0.629501587874552,0.811641803252745,0.0817762820830173,0.128842680861794,3.62270153761531
"YHL014C","YLF2",0.39668995181987,1.4869578238847,0.0823074646077005,0.12963936267925,3.60769177625083
"YMR308C","PSE1",0.398098583112146,3.84150598166865,0.0824127422329281,0.129764931801181,3.60457326931211
"YNL039W","BDP1",-0.511117207448543,4.05656017691986,0.0824387942919126,0.129765715255528,3.60386426549261
"YJL156C","SSY5",0.271934200690604,3.00184135136975,0.0825937229368041,0.129942935848445,3.59975987216976
"YIL018W","RPL2B",-0.384456892943698,6.02703141829259,0.0826025594562388,0.129942935848445,3.59946856483508
"YOR213C","SAS5",0.518447954607485,2.07495101427764,0.0826398181612664,0.129961287278696,3.59879307553814
"YDR068W","DOS2",-0.688600542406955,3.04022105711381,0.0826730735677201,0.129973333615134,3.59764115280127
"YDL145C","COP1",0.312454767798602,4.60129376517718,0.0827757608471303,0.130094495073268,3.59486246854829
"YPR201W","ARR3",0.822723526937062,0.924949619291408,0.082906220189878,0.130259216003775,3.59536579233802
"YOL115W","PAP2",-0.337842081905571,3.23344339947027,0.0830387435859618,0.130427076996447,3.58790725459919
"YNCO0014C","SNR9",0.715033989688936,7.13849318730748,0.0832151242488855,0.130663698495931,3.58319351076389
"YNCL0006W","SNR6",-1.0105502833307,3.09485591158131,0.0832705355989587,0.13071028741005,3.58181494287696
