SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YBR085W	6	2	1	4	6	1	9	3	4
YBR085C-A	191	156	179	434	442	191	444	532	637
YBR086C	505	313	411	375	249	240	360	399	382
YBR087W	32	29	32	125	62	49	35	50	46
YBR088C	185	130	126	150	105	79	40	47	48
YBR089C-A	616	463	507	422	423	196	236	300	300
YBR090C	286	204	224	266	242	113	150	184	192
YBR091C	43	35	48	83	79	41	18	18	22
YBR092C	24	15	3	28	23	13	30	28	27
YBR093C	46	22	30	36	39	26	70	74	59
YBR094W	92	76	64	139	77	55	86	86	79
YBR095C	97	90	91	152	161	54	54	75	70
YBR096W	58	39	41	112	84	70	46	59	66
YBR097W	107	50	65	223	151	108	181	232	201
YBR098W	132	86	122	172	267	83	142	168	119
YBR101C	1060	826	921	487	863	181	192	212	191
YBR102C	55	39	39	100	77	48	65	75	91
YBR103W	70	52	66	139	92	71	84	112	111
YBR104W	34	22	20	114	65	54	43	56	43
YBR105C	372	274	410	187	185	121	214	253	252
YBR106W	407	307	298	924	738	509	364	487	441
YBR107C	15	16	15	58	55	43	43	62	53
YBR108W	126	98	85	60	93	40	68	84	101
YBR109C	216	126	140	370	299	208	162	231	208
YBR110W	81	45	53	149	78	64	52	75	58
YBR111C	389	283	311	349	336	160	379	460	498
YBR111W-A	52	18	29	75	73	11	33	56	60
YBR112C	434	282	354	151	249	59	149	186	153
YBR114W	333	214	299	166	165	69	123	143	134
YBR115C	274	163	233	461	280	360	376	401	362
YBR117C	735	501	589	30	46	13	84	111	83
YBR118W	8763	5586	6146	13520	8179	8825	7939	8577	7475
YBR119W	138	103	105	104	146	25	80	75	64
YBR120C	251	161	193	125	191	27	66	74	87
YBR121C	416	261	267	553	459	281	304	362	322
YBR122C	313	212	230	283	301	139	141	132	159
YBR123C	94	81	68	78	80	37	56	74	70
YBR125C	70	49	44	108	84	89	45	53	46
YBR126C	1108	756	820	463	474	281	719	792	690
YBR126W-A	283	200	233	119	149	44	69	130	116
YBR127C	570	371	413	1231	669	906	1096	1176	1203
YBR128C	59	45	51	48	58	18	48	78	68
YBR129C	63	56	62	105	101	59	66	101	88
YBR130C	87	50	59	96	99	14	32	47	47
YBR131W	30	23	27	52	42	26	57	63	72
YBR132C	74	48	48	116	100	83	120	133	153
YBR133C	94	70	63	140	124	96	121	129	114
YBR135W	54	34	54	39	76	22	24	31	22
YBR136W	78	63	56	218	123	101	222	224	275
YBR137W	74	49	62	69	65	46	107	129	133
YBR138C	76	47	55	52	42	34	82	89	71
YBR139W	600	411	545	416	284	322	611	717	710
YBR140C	697	508	490	919	583	503	1468	1524	1527
